zip_code,county,population,number_of_clinics,avg_distance_to_clinic_km,healthcare_desert_flag
75045,Denton,10,9,13.84,No
75045,Harris,6,6,10.97,No
75045,Tarrant,11,4,6.65,No
75045,Travis,11,7,22.38,No
75046,Collin,7,6,20.26,No
75046,Dallas,8,3,14.81,No
75046,Denton,5,8,7.69,No
75046,Harris,10,5,15.36,No
75046,Tarrant,5,8,18.7,No
75046,Travis,11,6,14.28,No
75047,Collin,5,3,10.45,No
75047,Dallas,5,5,1.08,No
75047,Denton,13,4,20.6,No
75047,Harris,13,7,16.36,No
75047,Tarrant,10,0,14.43,No
75047,Travis,7,8,17.31,No
75048,Collin,9,9,22.23,No
75048,Dallas,7,4,22.01,No
75048,Denton,9,7,22.53,No
75048,Harris,11,8,17.88,No
75048,Tarrant,5,6,17.17,No
75048,Travis,7,1,7.13,No
75049,Collin,5,1,9.28,No
75049,Dallas,7,6,8.22,No
75049,Denton,8,5,17.15,No
75049,Harris,10,9,4.2,No
75049,Tarrant,9,0,8.5,No
75049,Travis,7,3,21.51,No
75050,Collin,15,6,7.57,No
75050,Dallas,4,2,20.8,No
75050,Denton,5,0,2.08,No
75050,Harris,8,6,14.45,No
75050,Tarrant,12,6,1.45,No
75050,Travis,13,8,19.69,No
75051,Collin,7,8,5.84,No
75051,Dallas,8,9,9.02,No
75051,Denton,8,9,19.33,No
75051,Harris,7,8,24.43,No
75051,Tarrant,13,6,20.68,No
75051,Travis,9,5,3.98,No
75052,Collin,6,0,14.8,No
75052,Dallas,6,9,20.87,No
75052,Denton,8,5,10.22,No
75052,Harris,7,7,17.68,No
75052,Tarrant,7,1,6.9,No
75052,Travis,9,4,9.9,No
75053,Collin,8,8,17.06,No
75053,Dallas,6,2,1.79,No
75053,Denton,8,2,1.88,No
75053,Harris,7,5,19.88,No
75053,Tarrant,9,8,1.06,No
75053,Travis,8,1,1.48,No
75054,Collin,7,0,3.65,No
75054,Dallas,7,0,8.39,No
75054,Denton,7,6,21.79,No
75054,Harris,6,5,3.92,No
75054,Tarrant,11,3,11.58,No
75054,Travis,10,4,15.34,No
75055,Collin,4,1,5.83,No
75055,Dallas,8,5,12.71,No
75055,Denton,12,7,8.55,No
75055,Harris,10,9,7.23,No
75055,Tarrant,8,9,16.23,No
75055,Travis,8,1,18.81,Yes
75056,Collin,11,2,20.97,No
75056,Dallas,5,8,4.68,No
75056,Denton,8,4,17.24,No
75056,Harris,10,3,7.3,No
75056,Tarrant,4,1,12.78,No
75056,Travis,8,8,12.26,No
75057,Collin,15,4,5.75,No
75057,Dallas,4,9,7.35,No
75057,Denton,7,4,7.34,No
75057,Harris,8,6,22.47,No
75057,Tarrant,4,6,21.87,No
75057,Travis,7,8,7.73,No
75058,Collin,10,7,4.99,No
75058,Dallas,20,6,10.78,No
75058,Denton,5,0,16.15,Yes
75058,Harris,7,4,9.27,No
75058,Tarrant,13,2,11.54,No
75058,Travis,7,5,5.27,No
75059,Collin,7,7,11.98,No
75059,Dallas,7,9,16.59,No
75059,Denton,6,6,24.07,No
75059,Harris,10,9,24.11,No
75059,Tarrant,4,1,8.95,No
75059,Travis,12,1,21.36,Yes
75060,Collin,16,2,3.55,No
75060,Dallas,5,2,23.58,No
75060,Denton,13,3,7.64,No
75060,Harris,7,7,3.43,No
75060,Tarrant,7,6,13.81,No
75060,Travis,10,7,5.53,No
75061,Collin,8,7,24.99,No
75061,Dallas,11,8,13.28,No
75061,Denton,8,2,10.29,No
75061,Harris,7,3,17.93,No
75061,Tarrant,5,7,1.42,No
75061,Travis,6,0,10.53,No
75062,Collin,14,5,12.06,No
75062,Dallas,10,1,6.69,No
75062,Denton,5,4,12.62,No
75062,Harris,13,0,19.78,Yes
75062,Tarrant,10,9,12.71,No
75062,Travis,8,9,8.75,No
75063,Collin,11,1,10.32,No
75063,Dallas,9,4,2.5,No
75063,Denton,10,7,17.44,No
75063,Harris,11,7,13.37,No
75063,Tarrant,1,0,13.26,No
75063,Travis,10,2,10.92,No
75064,Collin,11,2,21.51,No
75064,Dallas,7,9,16.39,No
75064,Denton,8,3,1.19,No
75064,Harris,9,9,9.64,No
75064,Tarrant,3,3,24.83,No
75064,Travis,2,4,13.75,No
75065,Collin,7,8,19.07,No
75065,Dallas,5,8,8.87,No
75065,Denton,7,0,17.99,Yes
75065,Harris,7,2,13.99,No
75065,Tarrant,7,2,5.42,No
75065,Travis,6,3,5.47,No
75066,Collin,6,3,6.08,No
75066,Dallas,13,5,3.72,No
75066,Denton,3,5,6.66,No
75066,Harris,4,2,10.49,No
75066,Tarrant,7,3,24.99,No
75066,Travis,10,7,19.23,No
75067,Collin,8,0,4.12,No
75067,Dallas,5,3,23.35,No
75067,Denton,3,3,3.74,No
75067,Harris,7,5,2.98,No
75067,Tarrant,8,0,13.29,No
75067,Travis,8,3,23.79,No
75068,Collin,7,1,10.81,No
75068,Dallas,11,9,15.22,No
75068,Denton,7,4,16.16,No
75068,Harris,9,1,21.42,Yes
75068,Tarrant,8,6,5.08,No
75068,Travis,3,8,18.79,No
75069,Collin,12,9,14.02,No
75069,Dallas,4,8,4.92,No
75069,Denton,8,7,17.64,No
75069,Harris,9,2,19.7,No
75069,Tarrant,15,6,2.07,No
75069,Travis,10,4,4.92,No
75070,Collin,5,0,6.63,No
75070,Dallas,5,0,23.44,Yes
75070,Denton,10,6,15.78,No
75070,Harris,7,0,1.63,No
75070,Tarrant,6,6,13.19,No
75070,Travis,15,6,17.36,No
75071,Collin,11,0,19.9,Yes
75071,Dallas,5,3,23.86,No
75071,Denton,7,8,11.26,No
75071,Harris,8,0,20.22,Yes
75071,Tarrant,12,4,18.95,No
75071,Travis,8,6,10.39,No
75072,Collin,10,9,24.18,No
75072,Dallas,4,6,16.77,No
75072,Denton,4,6,13.32,No
75072,Harris,10,8,22.25,No
75072,Tarrant,7,3,17.2,No
75072,Travis,4,6,17.16,No
75073,Collin,5,3,1.13,No
75073,Dallas,11,2,12.92,No
75073,Denton,8,9,12.96,No
75073,Harris,11,1,7.13,No
75073,Tarrant,12,8,2.22,No
75073,Travis,9,8,3.78,No
75074,Collin,11,8,23.19,No
75074,Dallas,12,6,22.15,No
75074,Denton,8,7,1.24,No
75074,Harris,8,7,8.38,No
75074,Tarrant,4,6,13.8,No
75074,Travis,9,5,16.91,No
75075,Collin,10,8,16.38,No
75075,Dallas,6,1,5.04,No
75075,Denton,11,1,7.21,No
75075,Harris,9,5,7.31,No
75075,Tarrant,5,4,4.21,No
75075,Travis,9,1,10.16,No
75076,Collin,5,0,22.53,Yes
75076,Dallas,7,0,17.75,Yes
75076,Denton,8,5,12.25,No
75076,Harris,5,5,5.7,No
75076,Tarrant,11,6,3.99,No
75076,Travis,5,3,3.2,No
75077,Collin,8,1,21.04,Yes
75077,Dallas,5,6,4.01,No
75077,Denton,9,0,13.14,No
75077,Harris,10,2,3.23,No
75077,Tarrant,9,4,13.08,No
75077,Travis,6,0,18.92,Yes
75078,Collin,8,3,9.38,No
75078,Dallas,9,7,12.46,No
75078,Denton,6,7,23.62,No
75078,Harris,6,0,16.66,Yes
75078,Tarrant,7,7,7.7,No
75078,Travis,5,1,4.6,No
75079,Collin,9,7,19.6,No
75079,Dallas,10,7,10.05,No
75079,Denton,8,7,14.63,No
75079,Harris,6,1,2.31,No
75079,Tarrant,9,5,1.46,No
75079,Travis,9,9,1.68,No
75080,Collin,9,4,21.56,No
75080,Dallas,11,0,2.66,No
75080,Denton,5,8,11.3,No
75080,Harris,7,3,21.03,No
75080,Tarrant,8,7,20.43,No
75080,Travis,7,3,15.18,No
75081,Collin,9,4,3.34,No
75081,Dallas,6,5,3.88,No
75081,Denton,3,6,9.02,No
75081,Harris,7,0,10.15,No
75081,Tarrant,8,8,7.18,No
75081,Travis,8,4,5.92,No
75082,Collin,6,1,16.93,Yes
75082,Dallas,4,2,8.14,No
75082,Denton,8,4,5.25,No
75082,Harris,8,4,15.4,No
75082,Tarrant,10,7,22.6,No
75082,Travis,11,3,14.44,No
75083,Collin,8,4,19.5,No
75083,Dallas,12,0,8.04,No
75083,Denton,9,2,17.42,No
75083,Harris,6,5,12.37,No
75083,Tarrant,6,7,12.03,No
75083,Travis,7,1,1.87,No
75084,Collin,10,7,21.9,No
75084,Dallas,5,1,24.99,Yes
75084,Denton,12,7,19.87,No
75084,Harris,5,0,11.4,No
75084,Tarrant,7,1,1.98,No
75084,Travis,12,6,17.47,No
75085,Collin,9,6,7.17,No
75085,Dallas,5,1,7.33,No
75085,Denton,8,6,4.87,No
75085,Harris,9,5,15.94,No
75085,Tarrant,7,3,22.87,No
75085,Travis,15,3,24.26,No
75086,Collin,11,9,11.63,No
75086,Dallas,7,1,10.21,No
75086,Denton,9,1,16.63,Yes
75086,Harris,14,5,8.56,No
75086,Tarrant,3,6,2.61,No
75086,Travis,12,0,1.03,No
75087,Collin,9,6,8.09,No
75087,Dallas,9,0,9.95,No
75087,Denton,11,5,9.67,No
75087,Harris,10,1,1.35,No
75087,Tarrant,6,7,21.76,No
75087,Travis,7,1,3.72,No
75088,Collin,5,9,24.84,No
75088,Dallas,11,4,5.68,No
75088,Denton,10,5,9.62,No
75088,Harris,15,4,14.98,No
75088,Tarrant,14,1,11.6,No
75088,Travis,3,4,22.76,No
75089,Collin,12,9,16.5,No
75089,Dallas,10,7,8.64,No
75089,Denton,3,5,14.65,No
75089,Harris,8,5,22.92,No
75089,Tarrant,7,1,9.65,No
75089,Travis,10,5,11.19,No
75090,Collin,6,3,11.71,No
75090,Dallas,9,8,12.46,No
75090,Denton,10,4,5.29,No
75090,Harris,11,2,16.12,No
75090,Tarrant,10,1,11.61,No
75090,Travis,6,5,14.7,No
75091,Collin,8,0,7.28,No
75091,Dallas,4,0,4.84,No
75091,Denton,7,0,13.92,No
75091,Harris,9,8,17.51,No
75091,Tarrant,8,4,8.6,No
75091,Travis,8,1,12.9,No
75092,Collin,8,8,17.0,No
75092,Dallas,7,8,23.8,No
75092,Denton,7,5,1.52,No
75092,Harris,8,1,17.27,Yes
75092,Tarrant,11,4,14.65,No
75092,Travis,9,9,9.4,No
75093,Collin,4,5,3.59,No
75093,Dallas,11,9,4.0,No
75093,Denton,10,8,20.92,No
75093,Harris,10,6,18.12,No
75093,Tarrant,6,9,15.73,No
75093,Travis,7,9,13.23,No
75094,Collin,11,2,10.96,No
75094,Dallas,14,9,21.13,No
75094,Denton,11,2,1.29,No
75094,Harris,9,2,18.13,No
75094,Tarrant,7,0,17.85,Yes
75094,Travis,11,8,9.38,No
75095,Collin,13,7,1.03,No
75095,Dallas,10,0,2.83,No
75095,Denton,11,3,15.19,No
75095,Harris,12,6,2.88,No
75095,Tarrant,10,3,12.25,No
75095,Travis,5,8,16.51,No
75096,Collin,4,9,24.54,No
75096,Dallas,8,6,3.71,No
75096,Denton,7,2,21.94,No
75096,Harris,10,0,21.85,Yes
75096,Tarrant,3,1,23.61,Yes
75096,Travis,4,3,11.85,No
75097,Collin,10,0,12.09,No
75097,Dallas,7,2,17.09,No
75097,Denton,11,5,22.8,No
75097,Harris,6,9,3.12,No
75097,Tarrant,9,2,23.52,No
75097,Travis,9,3,19.25,No
75098,Collin,11,2,6.29,No
75098,Dallas,12,4,8.09,No
75098,Denton,4,8,21.78,No
75098,Harris,6,8,4.66,No
75098,Tarrant,5,1,8.02,No
75098,Travis,13,4,3.23,No
75099,Collin,12,5,5.07,No
75099,Dallas,7,5,12.24,No
75099,Denton,6,8,2.54,No
75099,Harris,9,8,7.56,No
75099,Tarrant,8,4,23.41,No
75099,Travis,10,4,17.62,No
75100,Collin,6,7,19.0,No
75100,Dallas,7,1,23.78,Yes
75100,Denton,10,0,23.83,Yes
75100,Harris,5,5,10.59,No
75100,Tarrant,6,4,23.36,No
75100,Travis,6,1,21.13,Yes
75101,Collin,5,5,21.75,No
75101,Dallas,4,3,1.92,No
75101,Denton,12,0,19.87,Yes
75101,Harris,9,5,15.31,No
75101,Tarrant,8,2,14.53,No
75101,Travis,8,5,19.29,No
75102,Collin,6,3,21.51,No
75102,Dallas,9,4,11.02,No
75102,Denton,9,0,20.05,Yes
75102,Harris,7,0,21.29,Yes
75102,Tarrant,5,0,13.31,No
75102,Travis,8,7,17.97,No
75103,Collin,8,5,7.47,No
75103,Dallas,4,0,17.06,Yes
75103,Denton,8,9,11.28,No
75103,Harris,10,1,4.98,No
75103,Tarrant,9,4,17.77,No
75103,Travis,8,7,6.47,No
75104,Collin,7,1,15.08,Yes
75104,Dallas,11,0,21.64,Yes
75104,Denton,11,6,22.72,No
75104,Harris,9,8,4.56,No
75104,Tarrant,5,4,8.47,No
75104,Travis,13,3,19.67,No
75105,Collin,5,1,19.91,Yes
75105,Dallas,9,4,7.58,No
75105,Denton,3,9,18.17,No
75105,Harris,6,1,18.17,Yes
75105,Tarrant,11,5,3.41,No
75105,Travis,7,2,22.06,No
75106,Collin,6,3,11.92,No
75106,Dallas,3,5,23.74,No
75106,Denton,10,6,19.68,No
75106,Harris,13,6,5.81,No
75106,Tarrant,14,3,21.07,No
75106,Travis,8,2,18.78,No
75107,Collin,10,2,5.39,No
75107,Dallas,9,3,19.91,No
75107,Denton,10,6,19.41,No
75107,Harris,10,6,1.98,No
75107,Tarrant,8,0,11.18,No
75107,Travis,7,5,16.82,No
75108,Collin,5,8,19.88,No
75108,Dallas,9,9,23.91,No
75108,Denton,12,8,8.91,No
75108,Harris,7,3,22.13,No
75108,Tarrant,9,3,9.77,No
75108,Travis,8,9,20.37,No
75109,Collin,9,2,24.73,No
75109,Dallas,2,5,3.6,No
75109,Denton,9,9,20.35,No
75109,Harris,10,1,11.35,No
75109,Tarrant,4,6,1.62,No
75109,Travis,5,1,9.53,No
75110,Collin,6,3,5.32,No
75110,Dallas,5,4,5.79,No
75110,Denton,13,6,17.4,No
75110,Harris,10,0,2.79,No
75110,Tarrant,11,5,13.1,No
75110,Travis,15,6,6.94,No
75111,Collin,7,2,3.18,No
75111,Dallas,12,1,4.12,No
75111,Denton,6,9,24.32,No
75111,Harris,8,5,24.65,No
75111,Tarrant,14,0,1.65,No
75111,Travis,10,3,6.28,No
75112,Collin,8,4,15.18,No
75112,Dallas,7,1,16.96,Yes
75112,Denton,5,0,12.77,No
75112,Tarrant,14,0,15.58,Yes
75112,Travis,9,1,11.66,No
75113,Collin,11,2,21.84,No
75113,Dallas,10,3,1.76,No
75113,Denton,9,9,8.5,No
75113,Harris,6,1,11.92,No
75113,Tarrant,5,6,17.21,No
75113,Travis,10,8,8.19,No
75114,Collin,6,3,3.46,No
75114,Dallas,6,2,6.59,No
75114,Denton,6,4,16.17,No
75114,Harris,8,9,16.01,No
75114,Tarrant,6,2,7.45,No
75114,Travis,11,9,17.04,No
75115,Collin,11,5,21.27,No
75115,Dallas,4,2,24.62,No
75115,Denton,14,9,23.55,No
75115,Harris,9,2,10.76,No
75115,Tarrant,10,9,20.58,No
75115,Travis,9,3,21.75,No
75116,Collin,8,7,22.43,No
75116,Dallas,8,1,2.38,No
75116,Denton,5,9,24.6,No
75116,Harris,9,1,3.22,No
75116,Tarrant,5,9,16.62,No
75116,Travis,9,7,12.77,No
75117,Collin,6,5,4.37,No
75117,Dallas,10,1,8.27,No
75117,Denton,9,9,7.3,No
75117,Harris,13,2,23.49,No
75117,Tarrant,10,5,16.59,No
75117,Travis,11,6,1.26,No
75118,Collin,9,2,9.1,No
75118,Dallas,5,0,8.54,No
75118,Denton,12,3,16.76,No
75118,Harris,7,2,1.77,No
75118,Tarrant,11,2,2.18,No
75118,Travis,7,1,14.42,No
75119,Collin,13,5,22.58,No
75119,Dallas,8,2,12.3,No
75119,Denton,9,6,6.22,No
75119,Harris,2,7,19.28,No
75119,Tarrant,8,5,11.86,No
75119,Travis,5,4,18.07,No
75120,Collin,8,7,13.89,No
75120,Dallas,8,7,9.7,No
75120,Denton,12,9,19.83,No
75120,Harris,5,4,15.05,No
75120,Tarrant,11,8,8.9,No
75120,Travis,10,4,8.83,No
75121,Collin,8,2,16.3,No
75121,Dallas,8,2,4.2,No
75121,Denton,10,6,17.13,No
75121,Harris,11,5,24.67,No
75121,Tarrant,9,2,7.34,No
75121,Travis,10,4,24.55,No
75122,Collin,3,1,7.28,No
75122,Dallas,12,7,14.05,No
75122,Denton,8,4,24.52,No
75122,Harris,9,4,8.01,No
75122,Tarrant,6,8,7.84,No
75122,Travis,11,4,23.75,No
75123,Collin,12,1,6.99,No
75123,Dallas,8,9,5.55,No
75123,Denton,3,0,17.56,Yes
75123,Harris,14,3,13.41,No
75123,Tarrant,15,6,12.18,No
75123,Travis,9,9,23.16,No
75124,Collin,9,3,22.56,No
75124,Dallas,8,0,20.58,Yes
75124,Denton,4,5,9.39,No
75124,Harris,10,6,16.66,No
75124,Tarrant,3,9,10.82,No
75124,Travis,13,1,24.06,Yes
75125,Collin,6,3,1.05,No
75125,Dallas,8,4,10.42,No
75125,Denton,8,8,20.57,No
75125,Harris,11,3,3.12,No
75125,Tarrant,8,0,15.45,Yes
75125,Travis,7,9,19.02,No
75126,Collin,12,0,20.42,Yes
75126,Dallas,6,8,2.98,No
75126,Denton,2,9,7.01,No
75126,Harris,9,5,10.52,No
75126,Tarrant,4,4,3.86,No
75126,Travis,7,2,4.31,No
75127,Collin,9,1,2.54,No
75127,Dallas,5,3,13.75,No
75127,Denton,7,2,6.59,No
75127,Harris,13,4,22.89,No
75127,Tarrant,10,9,2.58,No
75127,Travis,10,7,21.76,No
75128,Collin,13,4,20.23,No
75128,Dallas,4,8,13.23,No
75128,Denton,8,0,2.26,No
75128,Harris,4,6,5.87,No
75128,Tarrant,10,8,24.82,No
75128,Travis,11,1,17.69,Yes
75129,Collin,9,2,14.46,No
75129,Dallas,11,3,16.41,No
75129,Denton,11,5,23.5,No
75129,Harris,7,4,2.18,No
75129,Tarrant,8,1,13.17,No
75129,Travis,6,6,8.84,No
75130,Collin,10,9,20.43,No
75130,Dallas,7,1,15.69,Yes
75130,Denton,9,2,4.79,No
75130,Harris,7,7,8.86,No
75130,Tarrant,12,5,10.25,No
75130,Travis,13,8,10.07,No
75131,Collin,7,8,14.83,No
75131,Dallas,6,6,20.37,No
